Semester	Kategori	No	Kegiatan/Bukti	SKS BKD	SKS Lebih	Masa Penugasan	Kolom_8	Kolom_9	Kolom_10	Kolom_11	Kolom_12
Ganjil 2022/2023	Pendidikan	1	Mengajar Matakuliah TEKNOLOGI WIRELESS/Kelas 2019A (3 sks)	SK :- Tgl.SK:-	3	Tidak ada dokumen	Selesai	100%	3	Bukti Pendukung sesuai PO BKD 2021	Lengkapi bukti dengan ST/SK mengajar, Jurnal kuliah, daftar hadir
Ganjil 2022/2023	Pendidikan	2	Mengajar Matakuliah MATEMATIKA DISKRIT/Kelas 2018D (3 sks)	SK :- Tgl.SK:-	3	Tidak ada dokumen	Beban lebih	100%	3	Bukti Pendukung sesuai PO BKD 2021	Lengkapi bukti dengan ST/SK mengajar, Jurnal kuliah, daftar hadir
Ganjil 2022/2023	Pendidikan	3	Mengajar Matakuliah TEKNOLOGI WIRELESS/Kelas 2019B (3 sks)	SK :- Tgl.SK:-	3	Tidak ada dokumen	Selesai	100%	3	Bukti Pendukung sesuai PO BKD 2021	Lengkapi bukti dengan ST/SK mengajar, Jurnal kuliah, daftar hadir
Ganjil 2022/2023	Pendidikan	4	Mengajar Matakuliah STATISTIK TEKNIK/Kelas 2020B (3 sks)	SK :- Tgl.SK:-	3	Tidak ada dokumen	Beban lebih	100%	3	Bukti Pendukung sesuai PO BKD 2021	Lengkapi bukti dengan ST/SK mengajar, Jurnal kuliah, daftar hadir
Ganjil 2022/2023	Pendidikan	5	Mengajar Matakuliah STATISTIK TEKNIK/Kelas 2020C (3 sks)	SK :- Tgl.SK:-	3	Tidak ada dokumen	Beban lebih	100%	3	Bukti Pendukung sesuai PO BKD 2021	Lengkapi bukti dengan ST/SK mengajar, Jurnal kuliah, daftar hadir
Ganjil 2022/2023	Pendidikan	6	Mengajar Matakuliah BASIS DATA TERDISTRIBUSI/Kelas 2020B (3 sks)	SK :- Tgl.SK:-	3	Tidak ada dokumen	Selesai	100%	3	Bukti Pendukung sesuai PO BKD 2021	Lengkapi bukti dengan ST/SK mengajar, Jurnal kuliah, daftar hadir
Ganjil 2022/2023	Pendidikan	7	Mengajar Matakuliah STATISTIK TEKNIK/Kelas 2020A (3 sks)	SK :- Tgl.SK:-	3	Tidak ada dokumen	Beban lebih	100%	3	Bukti Pendukung sesuai PO BKD 2021	Lengkapi bukti dengan ST/SK mengajar, Jurnal kuliah, daftar hadir
Ganjil 2022/2023	Penelitian	1	Evaluasi Sistem Informasi Pelayanan Administrasi Desa Menggunakan Pendekatan User Persona dan User Journey Map	STAINS (SEMINAR ISBN :NASIONAL TEKNOLOGI & SAINS) Tgl. :16 Januari 2023 Terbit	1	Junral Penelitian; Surat Tugas Penelitian Alfian Nurlifa; Daftar Isi; Artikel Ilmiah Prosiding	Selesai	40%	0.33125	pengusul sebagai penulis ke 2 dengan jumlah penulis 4 orang (2,5 x 13,3%)	Sesuai PO BKD
Ganjil 2022/2023	Pengabdian	1	PELATIHAN PENGENALAN CODING BAGI GURU SD MENGGUNAKAN SCRATCH Jr di Laboratorium Rekayasa Perangkat Lunak Prodi Teknik Informatika	SK :087/VII/071073/PGRI/LPM/IX/2022 Tgl.SK:24 Oktober 2022	0.375	Surat Tugas Asfan; surat tugas pengabdian Fitroh; Surat Tugas Pengabdian Alfian Nurlifa; Laporan Pengabdian Kepada Masyarakat; Surat Tugas Pengabdian Kepada Masyarakat Andik Adi Suryanto; Surat Tugas Pengabdian Masyarakat Amaludin	Selesai	100%	0.375	Bukti Pendukung sesuai PO BKD 2021	Sesuai PO BKD
Ganjil 2022/2023	Pengabdian	2	Seminar dan Pelatihan Website di Balai Desa Wangun Kec. Palang Kab. Tuban	SK :026a/VII/071073/PGRI/LPM/VI/2022 Tgl.SK:18 Juni 2022	0.375	Surat Tugas Pengabdian Alfian ; Surat Tugas LPM; Lap PKM (Sampul, Lembar Pengesahan, Daftar Isi & Ringkasan); Surat Keterangan desa wangun	Selesai	100%	0.375	Bukti Pendukung sesuai PO BKD 2021	Lengkapi isi laporan sesuai template
